OBJECTID,URI,FEATURE_TYPE,NAME,OPERATIONAL_STATUS,FEATURE_DATE,FEATURE_SOURCE,ATTRIBUTE_DATE,ATTRIBUTE_SOURCE,SOURCE_UFI,SOURCE_JURISDICTION,CUSTODIAN_AGENCY,CUSTODIAN_LICENSING,LOADING_DATE,RELATIONSHIP,CAPACITY_KV,SHAPE_Length
14,,110008,Sydenham Terminal to Keilor Terminal,Operational,16/02/2013 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,177,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,500,0.126013453
15,,110008,Keilor Terminal to South Morang Terminal,Operational,16/02/2013 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,178,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,500,0.306333145
16,,110008,Keilor Terminal to Thomastown Terminal,Operational,16/02/2013 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,179,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,220,0.178968536
17,,110008,Keilor Terminal to Thomastown Terminal,Operational,16/02/2013 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,180,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,220,0.180402484
18,,110008,Deer Park to Geelong Terminal,Operational,19/04/2019 0:00,Esri World Imagery,4/04/2019 0:00,AEMO-Australian Energy Market Operators 2019,,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,220,0.560244701
19,,110008,Geelong Terminal to Keilor Terminal,Operational,17/11/2013 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,182,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,220,0.692044614
20,,110008,Hazelwood Terminal to Rowville Terminal,Operational,27/01/2014 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,183,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,500,1.483510723
21,,110008,Cranbourne Terminal to Rowville Terminal,Operational,9/02/2013 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,184,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,500,0.206863968
22,,110008,Hazelwood Terminal to Cranbourne Terminal,Operational,20/12/2013 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,185,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,500,1.277389295
23,,110008,Rowville Terminal Station to Thomastown Terminal Station,Operational,11/02/2013 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,186,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,220,0.463033521
24,,110008,Thomastown Terminal to Templestowe Terminal,Operational,8/02/2013 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,187,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,220,0.173488339
25,,110008,Ringwood Terminal to Thomastown Terminal,Operational,11/02/2013 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,188,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,220,0.267010449
26,,110008,Hazelwood Terminal to South Morang Terminal,Operational,1/11/2013 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,189,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,500,1.650644603
27,,110008,Eildon Power Station to Thomastown Terminal,Operational,28/01/2013 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,190,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,220,1.053755525
28,,110008,Moorabool Terminal to Sydenham Terminal,Operational,17/11/2013 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,191,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,500,0.64327699
29,,110008,Moorabool Terminal to Sydenham Terminal,Operational,17/11/2013 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,192,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,500,0.642993754
30,,110008,Anglesea Power Station to Point Henry,Operational,12/10/2013 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,193,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,220,0.374746999
31,,110008,Terang Terminal to Moorabool Terminal,Operational,7/12/2011 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,194,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,220,1.477777838
32,,110008,Terang Terminal to Ballarat Terminal,Operational,6/02/2014 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,195,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,220,1.207011176
33,,110008,Murray to Dederang Terminal,Operational,29/12/2011 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,196,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,330,1.230428299
34,,110008,Murray to Dederang Terminal,Operational,29/12/2011 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,197,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,330,1.23002946
35,,110008,South Morang Terminal to Dederang Terminal,Operational,10/12/2012 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,198,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,330,2.345304677
36,,110008,South Morang Terminal to Dederang Terminal,Operational,10/12/2012 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,199,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,330,2.347108732
37,,110008,Yallourn Power Station to Yallourn,Operational,15/12/2011 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,200,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,220,0.012523508
38,,110008,Yallourn Power Station to Yallourn,Operational,15/12/2011 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,201,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,220,0.011729924
39,,110008,Hazelwood Power Station to Morwell Tee,Operational,14/09/2010 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,202,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,220,0.035039196
40,,110008,Hazelwood Power Station to Hazelwood Terminal,Operational,14/09/2010 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,203,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,220,0.040179205
41,,110008,Hazelwood Power Station to Hazelwood Terminal,Operational,14/09/2010 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,204,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,220,0.04126301
42,,110008,Hazelwood Terminal to South Morang Terminal,Operational,1/11/2013 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,205,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,500,1.649219178
43,,110008,Loy Yang Power Station to Hazelwood Terminal,Operational,6/02/2014 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,206,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,500,0.155981276
44,,110008,Loy Yang Power Station to Hazelwood Terminal,Operational,6/02/2014 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,207,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,500,0.158199679
45,,110008,Loy Yang Power Station to Hazelwood Terminal,Operational,6/02/2014 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,208,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,500,0.160374828
46,,110008,Loy Yang Power Station to Basslink,Operational,6/02/2014 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,209,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,500,0.036799411
47,,110008,Loy Yang B Power Station to Loy Yang Power Station,Operational,6/02/2014 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,210,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,500,0.015067351
48,,110008,Valley Power to Loy Yang Power Station,Operational,6/02/2014 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,211,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,500,0.020785641
49,,110008,Wodonga Terminal to Dederang Terminal,Operational,13/11/2012 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,212,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,330,0.392050724
50,,110008,Moorabool Terminal to Elaine Terminal,Operational,12/10/2013 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,213,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,220,0.42834559
51,,110008,Mount Beauty Terminal to Dederang Terminal,Operational,13/11/2012 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,214,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,220,0.355235935
52,,110008,Mount Beauty Terminal to Bogong Tee,Operational,30/12/2010 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,215,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,220,0.096966916
53,,110008,Mount Beauty Terminal to West Kiewa Power Station,Operational,30/12/2010 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,216,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,220,0.029232694
54,,110008,Horsham Terminal to Waubra Terminal,Operational,2/01/2012 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,217,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,220,1.509439021
55,,110008,Mount Beauty Terminal to Dederang Terminal,Operational,13/11/2012 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,218,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,220,0.355131456
56,,110008,Mount Beauty Terminal to Dartmouth Power Station,Operational,25/01/2012 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,219,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,220,0.437464257
57,,110008,Red Cliffs to Kerang,Operational,10/01/2014 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,220,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,220,1.740814747
58,,110008,Red Cliffs Terminal to Horsham Terminal,Operational,1/02/2014 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,221,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,220,2.517327253
59,,110008,Red Cliffs to Buronga,Operational,27/09/2010 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,222,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,220,0.226140001
60,,110008,Buronga to Balranald,Operational,10/01/2014 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,223,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,220,1.518287764
61,,110008,Buronga to Broken Hill,Operational,27/01/2013 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,224,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,220,2.421542335
62,,110008,Robertstown to MDR Pump MW3,Operational,5/01/2013 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,225,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,132,0.063933678
63,,110008,MDR Pump MW2 to MDR Pump MW3,Operational,2/03/2014 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,226,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,132,0.238042436
64,,110008,MDR Pump MW1 to MDR Pump MW2,Operational,16/12/2013 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,227,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,132,0.269366821
65,,110008,North West Bend to MDR Pump MW1,Operational,25/11/2012 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,228,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,132,0.052516604
66,,110008,Monash to North West Bend,Operational,8/02/2014 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,229,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,132,0.915309103
67,,110008,Monash to North West Bend,Operational,8/02/2014 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,230,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,132,0.928630162
68,,110008,North West Bend to Robertstown,Operational,9/09/2012 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,231,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,132,0.645031116
69,,110008,Robertstown to Morgan-Whyalla 4 Pump Station,Operational,5/01/2013 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,232,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,132,0.077203496
70,,110008,Waterloo East to Morgan - Whyalla 4 Pump Station,Operational,16/12/2013 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,233,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,132,0.168450728
71,,110008,Monash to Berri,Operational,2/10/2011 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,234,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,132,0.033503859
72,,110008,Tailem Bend to Mobilong,Operational,23/02/2013 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,235,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,132,0.323199113
73,,110008,Keith to Tailem Bend,Operational,27/09/2012 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,236,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,132,1.196887461
74,,110008,South East to Mount Gambier,Operational,14/08/2011 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,237,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,132,0.13257275
75,,110008,Snuggery to Blanche,Operational,29/12/2009 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,238,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,132,0.445594172
76,,110008,Penola West to Kincraig,Operational,27/10/2010 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,239,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,132,0.568335219
77,,110008,Kincraig to Keith,Operational,2/01/2012 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,240,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,132,0.98264649
78,,110008,Snuggery to Keith,Operational,1/04/2014 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,241,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,132,1.664478674
79,,110008,Keith to Tailem Bend,Operational,27/09/2012 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,242,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,132,1.189844307
80,,110008,Cherry Gardens to Tailem Bend,Operational,16/12/2013 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,243,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,275,1.246913494
81,,110008,Mount Barker to Cherry Gardens,Operational,18/03/2012 0:00,Esri World Imagery,12/07/2012 0:00,AEMO-Australian Energy Market Operators 2012,244,National,Geoscience Australia,This material is released under the Creative Commons Attribution 4.0 International Licence.  © Commonwealth of Australia (Geoscience Australia) 2021,27/01/2021 10:59,Elevated,132,0.216423025
